"city","requirement"
"Караганда","Нужны уколы Клексан 0,4мл в шприцах(для беременной)"
"Аксай","Парацетамол, небол"
"Актау","Парацетамол градусник аскорбиновая кислота инсти чай я куплю в аптеках не могу найти"
"Алматы","Алоэ 1мг вы. 10 ампул"
"Шымкент","Меня нужен деньги у меня мама заболела   и потом он говорит типа как получить деньги и вещи"
"Нур-Султан Кз","Инговорин, Интровин"
"Нур-султан","Противовирусные препараты: ингавирин, нобозид"
"Экибастуз","Гепарин (антикоагулянт)"
"Алматы","Моей матери необxодим кислородный концентрат. Она в реанимации, этот концентрат нужен как можно срочно. Помогите кто может🙏🏼🙏🏼🙏🏼"
"Алматы","Курантил"
"Алматы","Фраксипарин 3800 Ме/0,4 мл"
"Семей","Сифтриаксон, цифазалин"
"Шымкент","Авифавир, человек на ИВЛ, срочно ищем"
"Алматы","Тест"
"Шымкент","1. Дексаметазон для укол 2. Ксарлето 10 мг. - 1 упаковка 3. Аскарутин 100 мг. - 2 упаковк 4. Регидрон - 5 пакетиков"
"Шымкент","Мне срочно нужен дектамизон"
"Павлодар","Противовирусные и антибиотики"
"Бурабай","Пожалуйста люди добрые помогите на лекарства ,очень дорогие лекарства прошу ради всего  Каспий 87761475391Пусть Аллах воздаст вам всего всего ))спасибо если откликнуться добрые люди"
"АТЫРАУ","Лекарство, Азитромицин"
"Кызылорда","Болеет моя бабуля , ей нужны лекарства как цефомед(уколы) , витамин с , и парацетамол"
"Жанаозен","Нужно пульсоксиметр, массажный аппарат для спины, ультрафиолетовый лампа, цефамед, амбро"
"Алматы","Левоксимед 500мг 100мл р-р для инфузий"
"Алматы","Фраксипари Клекса Верошпиро Амбробене"
"Нур-Султан ","Ищу азитромицин 500мг - 12 таблеток  "
"Нур-Султан","Добрый день! Очень нужен препарат Клексан! Если у кого то в избытке, прошу помощи! За ранее благодарю!"
"Актобе","Аскорбинка в амбулах"
"Almaty","Нужна лекарства: мерепенем, эртапик, офлаксан"
"Шымкент","Левофлаксацин 100 мл"
"Семей","Меропеном ципрофлоксацин"
"Алматы","Нуждаюсь в ингавирине, если у кого, где найдется, пожалуйста🙏🏻"
"Атырау","Гроприносин или эргоферон,цепролет система,"
"Шымкент","АРХИМАКС1000мг"
"Тараз","Кислородный баллон нужен.У нас в Таразе отсутсвует"
